Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Fat Cats","The Cathouse - Upper > The Cathouse > *Lost Horse Roadside Crags > Lost Horse Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/106679932/fat-cats,1.3,-1,Sport,5.7,1,50,34.02052,-116.17528
"Better Woke Than Broke","New Jersey Dome > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/125157839/better-woke-than-broke,1.0,-1,Sport,5.7,1,60,34.04957,-116.18536
"Respect Your Peeps","Hillside Crags > (e) Forty Nine Palms Oasis Area > Highway 62 Crags > Joshua Tree National Park > California",https://www.mountainproject.com/route/106759787/respect-your-peeps,2.0,-1,Sport,5.7+,1,40,34.05415,-116.17507
Jailbird,"Lost Pencil > Jerry's Quarry and Lost Pencil Areas > Geology Tour Road > Queen Valley Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/111252333/jailbird,1.7,-1,Sport,5.7+,1,40,33.95228,-116.10109
"No Sleep Till Brooklyn","Apparition Rock (Rear) > Apparition Rock > Indian Cove CG West > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/111456598/no-sleep-till-brooklyn,2.0,-1,Sport,5.7+,1,,34.09215,-116.16403
"Jackie Moon","Graham's Playpen > Stirrup Tank > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/111666590/jackie-moon,1.4,-1,Sport,5.7+,1,40,33.95432,-116.01995
"The Groin","The Back Rocks > White Tank Campground > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/116177882/the-groin,2.2,-1,Sport,5.7+,1,40,33.98662,-116.0115
"Pussy Riot","West Side > Approach Road Crags > Split Rocks > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/116778084/pussy-riot,1.7,-1,Sport,5.7+,1,60,34.00627,-116.05306
"Mission Bells","The Skin Graft > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/117019699/mission-bells,1.4,-1,Sport,5.7+,1,80,34.06054,-116.17237
"Norman Bates","Anger Management Cliffs > Negropolis Area > Quail Springs Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/120171789/norman-bates,1.0,-1,Sport,5.7+,1,40,34.06295,-116.22325
Bumpy,"Split Dome (North Rock) > Split Dome > Split Rocks East > Split Rocks > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723910/bumpy,2.1,-1,Sport,5.8-,1,50,34.01005,-116.05528
Bewitched,"Sleepy Hollow > Barker Dam Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/110008504/bewitched,1.9,-1,Sport,5.8-,1,40,34.02557,-116.14595
"Busted & Broke","Poker Face > Big Hunk > Echo Rock Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/111275226/busted-broke,1.3,-1,Sport,5.8-,1,35,34.02749,-116.15106
"Something Ladies Do","Futthead Rock > Magic Mountain Area > OZ Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/118358766/something-ladies-do,2.0,-1,Sport,5.8-,1,40,34.07028,-116.04411
Cryptic,"Headstone Rock > Ryan Campground > Sheep Pass Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/105721750/cryptic,3.1,-1,Sport,5.8,1,50,33.98437,-116.15237
"El Chivo","The Bilbo Buttresses > Indian Cove CG East > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723784/el-chivo,2.4,-1,Sport,5.8,1,60,34.09338,-116.15583
"The Bad Lieutenant","Bad Cop Rock > The Bond Boulders > Loveland > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723847/the-bad-lieutenant,2.0,-1,Sport,5.8,1,40,34.0207,-116.05337
"Slab Rats","Nature Trail Wall > Indian Cove CG West > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724285/slab-rats,2.0,-1,Sport,5.8,1,50,34.09405,-116.1683
"Amber Waves of Grain","Rock Garden Valley - Right Side > Rock Garden Valley > Lost Horse Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724669/amber-waves-of-grain,1.9,-1,Sport,5.8,1,50,34.0225,-116.1794
"George's Route (aka Binder)","Siberia > Outer Mongolia > The Middle Kingdom > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724783/georges-route-aka-binder,2.4,-1,Sport,5.8,1,100,34.06957,-116.16993
"Pacific Coast Highway","The Comic Strip - SW Face > The Comic Strip > Comic Book Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725425/pacific-coast-highway,0.7,-1,Sport,5.8,1,70,34.0131,-116.1433
"The Raven","Isles in the Sky (Northeast Face) > Isles in the Sky > Split Rocks West > Split Rocks > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725632/the-raven,1.5,-1,Sport,5.8,1,50,34.0047,-116.05874
Hogback,"Hodgepodge Rock - West Face > Hodgepodge Rock > Group Campsite  8 > Group Campsites Road > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725704/hogback,1.6,-1,Sport,5.8,1,40,34.09669,-116.16054
"Cat Burglar","The Saddlehorn > Saddle Rocks Area > Sheep Pass Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725758/cat-burglar,2.0,-1,Sport,5.8,1,70,33.9941,-116.1404
"N00ber Goober","N00b Rock > Indian Cove CG East > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105857328/n00ber-goober,1.5,-1,Sport,5.8,1,40,34.09192,-116.15242
Inhaler,"Echo Cove - East Side > Echo Cove > Echo Rock Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/105897095/inhaler,2.3,-1,Sport,5.8,1,60,34.02521,-116.15706
"Swedish Cleaning Lady","GoldenEye Spire > The Safe Zone > Indian Head Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/106042599/swedish-cleaning-lady,1.5,-1,Sport,5.8,1,30,34.0936,-116.05039
"Cactus Challenge","The Super Slab > Willow Hole Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106423017/cactus-challenge,2.0,-1,Sport,5.8,1,110,34.04373,-116.1341
"Saddle Sores","The Saddlehorn > Saddle Rocks Area > Sheep Pass Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/106655702/saddle-sores,2.0,-1,Sport,5.8,1,40,33.9941,-116.1404
"Jelly on Springs","Empire Wall > Group Campsite 11 > Group Campsites Road > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106670588/jelly-on-springs,2.3,-1,Sport,5.8,1,50,34.09573,-116.16516
"Easter Egg Hunt","Jaime's Rock > Group Campsite  1 > Group Campsites Road > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106704594/easter-egg-hunt,1.8,-1,Sport,5.8,1,45,34.09627,-116.15662
Natrimony,"Natural Light Wall > Stirrup Tank > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/106716717/natrimony,2.0,-1,Sport,5.8,1,55,33.9546,-116.02771
"Liver Brothers","Grey Giant > Grey Giant Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106734396/liver-brothers,1.0,-1,Sport,5.8,1,40,34.06395,-116.15202
"Holly Hipkiss","Alien Head Area > Rattlesnake Wash Hillside > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106745057/holly-hipkiss,2.0,-1,Sport,5.8,1,50,34.08779,-116.13661
Starrbonne,"Alien Head Area > Rattlesnake Wash Hillside > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106748317/starrbonne,1.5,-1,Sport,5.8,1,50,34.08779,-116.13661
"The Hammer","Alien Head Area > Rattlesnake Wash Hillside > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106748403/the-hammer,2.0,-1,Sport,5.8,1,40,34.08779,-116.13661
"Funky Fresh","Alien Head Area > Rattlesnake Wash Hillside > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106748425/funky-fresh,1.0,-1,Sport,5.8,1,50,34.08779,-116.13661
"Boom Boom","Boom Boom Buttress > Up  Canyon Crags > (f) Del Taco Crags Area > Highway 62 Crags > Joshua Tree National Park > California",https://www.mountainproject.com/route/106751196/boom-boom,1.0,-1,Sport,5.8,1,50,34.12817,-116.07306
"Yum Yum","Boom Boom Buttress > Up  Canyon Crags > (f) Del Taco Crags Area > Highway 62 Crags > Joshua Tree National Park > California",https://www.mountainproject.com/route/106751206/yum-yum,1.0,-1,Sport,5.8,1,50,34.12817,-116.07306
Timber,"Thrutcher Dome > Central Wonderland > Wonderland South > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106753575/timber,2.0,-1,Sport,5.8,1,40,34.04558,-116.1435
"Don't Eat the Worm","Approach Boulders > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106760113/dont-eat-the-worm,1.0,-1,Sport,5.8,1,50,34.07334,-116.14192
"Beer Is Good","The Great White Face > Indian Head Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/106761211/beer-is-good,2.0,-1,Sport,5.8,1,80,34.0982,-116.0615
"Southern Cornbread","The Minge > Indian Head Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/106762031/southern-cornbread,1.0,-1,Sport,5.8,1,50,34.09346,-116.05361
"Roman Bath","SE Boulders > Approach Road Crags > Split Rocks > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/106772914/roman-bath,1.0,-1,Sport,5.8,1,45,34.00932,-116.04807
Eddy,"Eagle Mountain Exit > Interstate 10 Crags > Joshua Tree National Park > California",https://www.mountainproject.com/route/106779252/eddy,2.7,-1,Sport,5.8,1,45,33.68539,-115.44309
"Nic Traverse","Monkey Wall > Stealth Pillar Area > Rattlesnake Wash Hillside > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106786251/nic-traverse,2.0,-1,Sport,5.8,1,60,34.08516,-116.13521
"Dig For Fire","Monkey Wall > Stealth Pillar Area > Rattlesnake Wash Hillside > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106786255/dig-for-fire,2.0,-1,Sport,5.8,1,50,34.08516,-116.13521
"Bird Eating Spider","Morongo Man Cliffs > Loveland > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/106787579/bird-eating-spider,2.0,-1,Sport,5.8,1,50,34.018,-116.0637
"Dr. Haney","Dr. Haney's Tool Shed Area > Jumbo Rock Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/106788372/dr-haney,2.0,-1,Sport,5.8,1,45,33.99175,-116.03698
"I Eat Crayons","The Elf's Hat > Magic Mountain Area > OZ Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/106788389/i-eat-crayons,1.0,-1,Sport,5.8,1,30,34.07095,-116.04
"Monkey Burger","Peta Crag > (f) Del Taco Crags Area > Highway 62 Crags > Joshua Tree National Park > California",https://www.mountainproject.com/route/106826110/monkey-burger,2.4,-1,Sport,5.8,1,80,34.11167,-116.07274
"The Goop Gobbler","Safe Sex Zone > Indian Head Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/106826554/the-goop-gobbler,2.0,-1,Sport,5.8,1,40,34.09352,-116.0521
"That's What She Said","Safe Sex Zone > Indian Head Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/106826568/thats-what-she-said,2.0,-1,Sport,5.8,1,50,34.09352,-116.0521
"Reverend Blitzo's Hairless Boys Choir","Hooter Rock > Atom Smasher Area > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/106936840/reverend-blitzos-hairless-boys-choir,0.5,-1,Sport,5.8,1,50,34.07048,-116.15879
Barrett's,"Unreported Rock > North Wonderland Approach > Wonderland North > Wonderland of Rocks > Joshua Tree National Park > California",https://www.mountainproject.com/route/107024848/barretts,2.0,-1,Sport,5.8,1,50,34.05296,-116.17629
"Under the Radar","Hidden Slab > Echo Rock - East Face > Echo Rock > Echo Rock Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/107117801/under-the-radar,2.2,-1,Sport,5.8,1,70,34.02551,-116.15531
Incandescent,"Little Hunk - NE Face (Right) > Little Hunk - NE Face > Little Hunk > Echo Rock Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/107148146/incandescent,2.5,-1,Sport,5.8,1,80,34.0277,-116.1531
"The GBM","Graham's Playpen > Stirrup Tank > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/108183417/the-gbm,2.3,-1,Sport,5.8,1,50,33.95432,-116.01995
Stucco,"Boortemus Clump > Iceberg Boulder Area > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/108271743/stucco,2.0,-1,Sport,5.8,1,40,34.08586,-116.14763
Guilty,"Lakeside Rock North (aka Oregon Trail) > Barker Dam Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/109285944/guilty,2.0,-1,Sport,5.8,1,90,34.03276,-116.14471
"Tucker Dies of Dysentery","Lakeside Rock North (aka Oregon Trail) > Barker Dam Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/109285966/tucker-dies-of-dysentery,1.9,-1,Sport,5.8,1,110,34.03276,-116.14471
"Santa on Crack","Santa's Workshop > Atlantis Area > Lost Horse Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/109662833/santa-on-crack,2.2,-1,Sport,5.8,1,60,34.01874,-116.17891
"Trick or Treat","Sleepy Hollow > Barker Dam Area > Central Joshua Tree > Joshua Tree National Park > California",https://www.mountainproject.com/route/110008384/trick-or-treat,2.1,-1,Sport,5.8,1,35,34.02557,-116.14595
"Handy Manny","Manny Rock > Contact Mine Road Area (aka Brittny's Area) > Magic Mountain Area > OZ Area > Pinto Basin > Joshua Tree National Park > California",https://www.mountainproject.com/route/110220760/handy-manny,1.5,-1,Sport,5.8,1,40,34.06726,-116.0421
"Will It or Won't It","Willit Pillar > Indian Cove CG East > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/110694423/will-it-or-wont-it,2.6,-1,Sport,5.8,1,70,34.0933,-116.15514
"Polish Pope","Little Europe > Virgin Islands Area > Geology Tour Road > Queen Valley Area > Joshua Tree National Park > California",https://www.mountainproject.com/route/110918142/polish-pope,1.3,-1,Sport,5.8,1,35,33.94995,-116.07517
