Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Aquaduck Pocket,Left Flank > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105866361/aquaduck-pocket,2.6,-1,Sport,5.11b,1,50,37.81449,-83.66388
Stay Off the Radio Jeff!,Bruise Brothers Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107596000/stay-off-the-radio-jeff,2.5,-1,Sport,5.9+,1,50,37.72444,-83.62657
Naughty Neighbors,Inner Sanctum > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106128957/naughty-neighbors,2.6,-1,Sport,5.10d,1,55,37.73203,-83.63337
Deeznuts,The Crossroads > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/108301541/deeznuts,2.6,-1,Sport,5.8,1,60,37.67609,-83.73312
Slick and the 9mm,Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106577353/slick-and-the-9mm,2.6,-1,Sport,5.10b,1,60,37.65292,-83.72495
Mancala,Johnny's Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106921324/mancala,2.5,-1,Sport,5.10a/b,1,45,37.72961,-83.63208
"You Can Tune a Piano, but You Can't Tuna Fish",Graining Fork Nature Preserve (a.k.a. Roadside Crag) > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106286289/you-can-tune-a-piano-but-you-cant-tuna-fish,2.5,-1,Sport,5.10b,1,60,37.73151,-83.65679
Hot Drama Teacher,Chica Bonita Wall > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106065301/hot-drama-teacher,2.8,-1,Sport,5.11a,1,90,37.65078,-83.72161
Sam,Animal Crackers Wall > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/107124331/sam,2.6,-1,Sport,5.10b,1,45,37.73064,-83.63911
Kokopeli's Dream,Sunnyside > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106574064/kokopelis-dream,2.5,-1,Sport,5.9,1,50,37.72324,-83.62607
One-Armed Bandit,The Boneyard > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106937674/one-armed-bandit,2.5,-1,Sport,5.9,1,80,37.73135,-83.63968
The G-Man,The Shire > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106885734/the-g-man,2.5,-1,Sport,5.10c,1,40,37.65214,-83.70995
Tire Swing,The Playground > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106702538/tire-swing,2.5,-1,Sport,5.10a,1,60,37.6532,-83.7146
In the Light,Military Wall > Northern Gorge > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105891681/in-the-light,2.5,-1,Sport,5.10c,1,50,37.8159,-83.66918
Chimp,The Old Zoo > The Zoo > Natural Bridge Region > Red River Gorge > Kentucky,https://www.mountainproject.com/route/105918086/chimp,2.5,-1,Sport,5.10b,1,60,37.73387,-83.66162
Make  A Wish,Drive-By Crag > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106081926/make-a-wish,2.6,-1,Sport,5.10b,1,75,37.65292,-83.72495
DaVinci's Left Ear,The Gallery > Pendergrass-Murray Recreational Preserve (PMRP) > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106937642/davincis-left-ear,2.6,-1,Sport,5.10c,1,60,37.65292,-83.71772
Suppress the Rage,Sunnyside > Muir Valley > Red River Gorge > Kentucky,https://www.mountainproject.com/route/106574070/suppress-the-rage,3.3,-1,Sport,5.12a,1,50,37.72324,-83.62607
