Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Articulated,"The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/117082830/articulated,3.0,-1,Sport,5.12d,1,,38.24137,-80.84379
"Die Fetzen Von Megos","Gauley Crag > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/117839009/die-fetzen-von-megos,3.0,-1,Sport,5.13a,1,80,38.20387,-80.89914
"Locked on Target","2 Bridge Buttress > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/113408602/locked-on-target,3.0,-1,"Sport, TR",5.13a,1,70,38.07178,-81.08006
"The Leather Nun","2. First Buttress > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/111755178/the-leather-nun,3.0,-1,Sport,5.13c,1,80,38.04588,-81.06645
"Donkey Kong","1) Super Mario Boulder > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/113122022/donkey-kong,3.0,-1,Sport,5.13a,1,50,38.05531,-81.0362
"The Red Vadge of Courage","2. Shaved Box Canyon > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/116694857/the-red-vadge-of-courage,3.0,-1,Sport,5.13a,1,50,38.14324,-80.91788
"Typical Situation","1. First Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107539021/typical-situation,3.0,-1,Sport,5.13b,1,80,38.14319,-80.91967
"Fat Cat","7 The Pinnacle > Bridge Area > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/110216068/fat-cat,3.5,-1,Sport,5.13a,1,40,38.08015,-81.08012
"Dreams of White Horsts","06. Head Wall > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/110216056/dreams-of-white-horsts,3.0,-1,"Sport, TR",5.12c/d,1,60,38.09307,-81.09555
"Whores in Church","Sunshine Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/105979864/whores-in-church,3.0,-1,Sport,5.13c,1,60,38.0752,-81.0891
"The Land Before Time","9a) Fern Creek Falls > Fern Buttress > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/107799483/the-land-before-time,3.0,-1,Sport,5.12d,1,60,38.05824,-81.06217
Zelda,"1) Super Mario Boulder > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/106961486/zelda,2.9,-1,Sport,5.13a,1,50,38.05531,-81.0362
Sparks,"M) Fantasy Area > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/125255146/sparks,3.0,-1,Sport,5.12d,1,90,38.05596,-81.05393
"Macho Borracho","Whippoorwill > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/125347936/macho-borracho,4.0,-1,Sport,5.13a,1,45,38.2338,-80.8552
"Canadian Route","R) The Cirque > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia",https://www.mountainproject.com/route/125378262/canadian-route,4.0,-1,Sport,5.13d,1,60,38.05615,-81.04359
