Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Pine stein","Moby Dick and Pterodactyl Terrace > Southwest Base > 1. Base Routes > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/121906105/pine-stein,3.0,-1,Sport,5.9-,1,35,37.72875,-119.63724
"Crystalline Passage","1. Schultz's Ridge > C. El Cap Picnic Area (Eagle Creek) > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106761804/crystalline-passage,2.9,-1,Sport,5.10b,1,120,37.72843,-119.62458
"Push It","Drug Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/108229822/push-it,2.8,-1,Sport,5.11a,1,115,37.86461,-119.42215
"Blotto AKA Axis","Ad. Arch Rock > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106678002/blotto-aka-axis,2.9,-1,Trad,5.10d,1,130,37.6893,-119.7334
"Overhang Overpass","Lower Cathedral West > 7. Lower Cathedral Area > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106669108/overhang-overpass,3.5,-1,Trad,5.11c,1,,37.71841,-119.64657
"Knuckle Buster","Lehamite Falls > F. Indian Canyon > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113456372/knuckle-buster,3.6,-1,Trad,5.10c,1,100,37.75902,-119.58155
Deflector,"West Face, Center > Medlicott Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/109219821/deflector,3.5,-1,Trad,"5.9 R",5,500,37.85919,-119.42859
"Day light to Midnight","4. Goodrich Pinnacle Area > I. Glacier Point Apron > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113932262/day-light-to-midnight,3.5,-1,Trad,5.10b,1,,37.7323,-119.56492
Rock-Shock,"L.  The Chapel Wall > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/111857089/rock-shock,3.5,-1,Sport,5.12d,1,85,37.738,-119.59215
"Slab Happy Pinnacle Left","4. Slab Happy Pinnacle > C. El Cap Picnic Area (Eagle Creek) > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106789155/slab-happy-pinnacle-left,3.5,-1,Trad,5.11a,3,400,37.73113,-119.62451
Opiate,"Northwest Face > Ax. Pulpit Rock > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113138390/opiate,3.5,-1,Sport,5.12a,1,100,37.7182,-119.68631
"High Heels","The Block > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106482674/high-heels,3.5,-1,Trad,5.12b,1,35,37.84527,-119.44648
"Peter Pan","The Slack to West Buttress > Southwest Base > 1. Base Routes > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107414798/peter-pan,3.6,-1,Trad,5.9,3,300,37.73009,-119.63786
"Phantom Pinnacle, Left","1. Phantom Pinnacle > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107633344/phantom-pinnacle-left,3.0,-1,Trad,5.9,3,500,37.71238,-119.62755
"Hawkman's Escape","2. Lower Brother > D. Camp 4 Area > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/113906469/hawkmans-escape,3.5,-1,Trad,5.9,8,900,37.73378,-119.61232
"Reed's Pinnacle Left","Reed's Pinnacle > At. Reed's Pinnacle Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/105913655/reeds-pinnacle-left,2.8,-1,Trad,5.10a,2,240,37.72439,-119.70063
"Mary's Tears","5. Higher Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/106788174/marys-tears,3.1,-1,Trad,5.11a/b,4,600,37.71439,-119.63469
"High Times","Drug Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/111312245/high-times,3.3,-1,Trad,5.13b,4,400,37.86461,-119.42215
"The Slack, Left","The Slack to West Buttress > Southwest Base > 1. Base Routes > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107032569/the-slack-left,3.4,-1,Trad,5.10b,3,350,37.73009,-119.63786
"Girls Just Want To Have Fun","The Cookie Cliff > Aj. Cookie Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/118586272/girls-just-want-to-have-fun,3.3,-1,Sport,5.11c,1,,37.71772,-119.71881
"River Boulder","Ag. Roadside Attraction > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/109424884/river-boulder,3.5,-1,"Trad, TR",5.11d,1,15,37.70169,-119.72236
"Party Mix","Southeast Base > 1. Base Routes > B. El Capitan > Valley North Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/107038554/party-mix,3.3,-1,Trad,"5.10b PG13",1,60,37.72855,-119.63636
"Phobos Start Variation","Phobos/Deimos Cliff > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/105916628/phobos-start-variation,3.3,-1,Trad,5.11+,1,30,37.84976,-119.44817
"Middle Earth","West Face > Mariuolumne Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/108340920/middle-earth,3.1,-1,Trad,"5.10b/c R",5,500,37.8623,-119.42265
"Fiddler on the Roof","North Face > Fairview Dome > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/106871162/fiddler-on-the-roof,2.9,-1,Trad,"5.10a R",5,800,37.87279,-119.40427
"Space Babble","6. Middle Cathedral Rock > P. Cathedral Area > Valley South Side > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/112301732/space-babble,3.5,-1,Trad,"5.11a R",7,600,37.7165,-119.6363
"Children of Light","Reed's Pinnacle > At. Reed's Pinnacle Area > Lower Merced River Canyon > Yosemite Valley > Yosemite National Park > California",https://www.mountainproject.com/route/112268329/children-of-light,3.3,-1,Sport,5.11c,1,80,37.72439,-119.70063
"Mandric- direct start","Murphy Creek > Murphy Creek Area > Tuolumne Meadows > Yosemite National Park > California",https://www.mountainproject.com/route/107244460/mandric-direct-start,3.2,-1,Trad,5.11b,1,80,37.85203,-119.46983
